Target,Model,Horizon,MAE,RMSE,RMSE($),MAPE(%),SMAPE(%),R2,MAPE_thr(%),RMSE_thr($),Pass
MG95,ARIMAX,1,0.9543,2.0175,2.0175,0.9639,0.9608,0.9872,3.0,2.0,False
MG95,SARIMA,1,1.5108,3.0496,3.0496,1.554,1.5528,0.9709,3.0,2.0,False
MG95,Jump-Gated ARIMAX-CatBoost,1,1.0608,2.7247,2.7247,1.0239,1.0211,0.9767,3.0,2.0,False
MG95,Ridge (Linear),1,1.3958,2.8454,2.8454,1.4263,1.4276,0.9746,3.0,2.0,False
MG95,LightGBM,1,1.9601,3.6035,3.6035,2.0137,2.0422,0.9592,3.0,2.0,False
MG95,LSTM,1,3.7641,6.367,6.367,3.9331,4.0275,0.8734,3.0,2.0,False
MG95,iTransformer,1,5.4096,11.0128,11.0128,5.0832,5.361,0.6213,3.0,2.0,False
MG95,GUMNet-Lite,1,5.1951,8.8963,8.8963,5.3658,5.2194,0.7529,3.0,2.0,False
MG95,GUMNet-Ultra,1,4.1842,8.7397,8.7397,4.0309,4.1572,0.7615,3.0,2.0,False
MG95,ARIMAX,5,2.1357,3.9035,3.9035,2.1854,2.177,0.9526,3.0,2.0,False
MG95,SARIMA,5,3.7698,6.9018,6.9018,3.8635,3.9068,0.8518,3.0,2.0,False
MG95,Jump-Gated ARIMAX-CatBoost,5,2.1905,4.0083,4.0083,2.2352,2.222,0.9497,3.0,2.0,False
MG95,Ridge (Linear),5,3.8534,7.232,7.232,3.9371,3.9261,0.8361,3.0,2.0,False
MG95,LightGBM,5,3.8153,6.9042,6.9042,3.9524,4.0634,0.8506,3.0,2.0,False
MG95,LSTM,5,6.8251,12.3324,12.3324,6.7628,7.133,0.526,3.0,2.0,False
MG95,iTransformer,5,7.0743,14.8549,14.8549,6.53,7.0757,0.3122,3.0,2.0,False
MG95,GUMNet-Lite,5,6.2243,11.6205,11.6205,6.2457,6.6563,0.5791,3.0,2.0,False
MG95,GUMNet-Ultra,5,5.4584,9.7735,9.7735,5.6176,5.6549,0.7023,3.0,2.0,False
MG95,ARIMAX,10,2.7379,4.8061,4.8061,2.7975,2.7803,0.9289,5.0,2.0,False
MG95,SARIMA,10,4.8785,10.2419,10.2419,4.8296,5.021,0.6771,5.0,2.0,False
MG95,Jump-Gated ARIMAX-CatBoost,10,3.047,5.928,5.928,3.0188,2.9681,0.8899,5.0,2.0,False
MG95,Ridge (Linear),10,5.952,11.9623,11.9623,5.8164,5.7541,0.5516,5.0,2.0,False
MG95,LightGBM,10,5.4593,10.7385,10.7385,5.4704,5.7518,0.6386,5.0,2.0,False
MG95,LSTM,10,7.8261,13.6081,13.6081,7.8811,8.1048,0.4251,5.0,2.0,False
MG95,iTransformer,10,9.1345,17.4575,17.4575,8.5999,9.3182,0.0538,5.0,2.0,False
MG95,GUMNet-Lite,10,8.145,14.3253,14.3253,8.3814,8.5745,0.3628,5.0,2.0,False
MG95,GUMNet-Ultra,10,7.8783,13.7337,13.7337,7.9132,7.8989,0.4144,5.0,2.0,False
MG95,ARIMAX,15,3.3789,5.8498,5.8498,3.4417,3.4112,0.8958,5.0,2.0,False
MG95,SARIMA,15,5.989,13.2602,13.2602,5.7751,6.1194,0.4644,5.0,2.0,False
MG95,Jump-Gated ARIMAX-CatBoost,15,3.6204,6.573,6.573,3.6231,3.5652,0.8648,5.0,2.0,False
MG95,Ridge (Linear),15,7.7045,16.0423,16.0423,7.3314,7.2034,0.1949,5.0,2.0,False
MG95,LightGBM,15,7.0923,14.088,14.088,6.8966,7.275,0.3791,5.0,2.0,False
MG95,LSTM,15,8.4622,14.2932,14.2932,8.6405,9.0361,0.3669,5.0,2.0,False
MG95,iTransformer,15,10.7986,17.2642,17.2642,10.8965,11.1848,0.0764,5.0,2.0,False
MG95,GUMNet-Lite,15,7.8937,16.4001,16.4001,7.625,8.416,0.1666,5.0,2.0,False
MG95,GUMNet-Ultra,15,8.6778,14.3927,14.3927,9.0427,9.1386,0.3581,5.0,2.0,False
MG95,ARIMAX,20,3.7386,6.5276,6.5276,3.8345,3.78,0.8716,5.0,2.0,False
MG95,SARIMA,20,7.1636,15.4098,15.4098,6.833,7.3191,0.2847,5.0,2.0,False
MG95,Jump-Gated ARIMAX-CatBoost,20,4.396,8.511,8.511,4.3699,4.2544,0.7734,5.0,2.0,False
MG95,Ridge (Linear),20,9.4052,19.4577,19.4577,8.8387,8.5801,-0.1843,5.0,2.0,False
MG95,LightGBM,20,9.1808,16.4714,16.4714,9.1007,9.5536,0.1513,5.0,2.0,False
MG95,LSTM,20,10.2704,18.0289,18.0289,10.1972,11.1663,-0.0028,5.0,2.0,False
MG95,iTransformer,20,12.5963,20.1559,20.1559,12.6546,13.0461,-0.2534,5.0,2.0,False
MG95,GUMNet-Lite,20,11.956,18.4918,18.4918,12.3671,12.6297,-0.055,5.0,2.0,False
MG95,GUMNet-Ultra,20,8.8756,15.6793,15.6793,8.9295,9.2951,0.2415,5.0,2.0,False
MG95,ARIMAX,30,4.1985,6.9632,6.9632,4.3397,4.2629,0.8572,,2.0,False
MG95,SARIMA,30,8.5796,18.1749,18.1749,8.0477,8.8458,0.0272,,2.0,False
MG95,Jump-Gated ARIMAX-CatBoost,30,4.9834,9.2263,9.2263,5.064,4.9402,0.7342,,2.0,False
MG95,Ridge (Linear),30,10.157,20.3332,20.3332,9.6942,9.5842,-0.2911,,2.0,False
MG95,LightGBM,30,9.3202,17.4758,17.4758,9.0389,9.6594,0.0463,,2.0,False
MG95,LSTM,30,10.9441,21.6421,21.6421,10.4672,12.029,-0.4418,,2.0,False
MG95,iTransformer,30,13.6775,22.9434,22.9434,13.5192,14.4518,-0.6204,,2.0,False
MG95,GUMNet-Lite,30,11.0275,20.173,20.173,10.6063,12.0555,-0.2527,,2.0,False
MG95,GUMNet-Ultra,30,12.3398,20.3316,20.3316,12.5847,13.9785,-0.2725,,2.0,False
MG95,ARIMAX,60,3.7506,5.1157,5.1157,4.1664,4.1186,0.928,,2.0,False
MG95,SARIMA,60,10.9924,22.4086,22.4086,9.9718,11.3846,-0.382,,2.0,False
MG95,Jump-Gated ARIMAX-CatBoost,60,4.803,5.7508,5.7508,5.441,5.4958,0.8973,,2.0,False
MG95,Ridge (Linear),60,9.7696,19.1115,19.1115,9.0596,10.2188,-0.134,,2.0,False
MG95,LightGBM,60,12.7022,20.8011,20.8011,12.8031,13.3254,-0.3434,,2.0,False
MG95,LSTM,60,16.4406,28.3382,28.3382,16.0541,18.9576,-1.4406,,2.0,False
MG95,iTransformer,60,16.6548,29.2886,29.2886,16.0514,18.0405,-1.607,,2.0,False
MG95,GUMNet-Lite,60,15.9289,27.5929,27.5929,15.5697,17.1971,-1.3139,,2.0,False
MG95,GUMNet-Ultra,60,11.8844,21.7267,21.7267,11.2516,12.8971,-0.4346,,2.0,False
